TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,UTA @ MIN,12/11/2019,W,240,127,47,83,56.6,16,35,45.7,17,22,77.3,11,34,45,23,4,7,16,22,11
UTA,UTA vs. OKC,12/09/2019,L,240,90,36,89,40.4,8,31,25.8,10,12,83.3,7,41,48,19,7,0,15,16,-14
UTA,UTA vs. MEM,12/07/2019,W,240,126,45,80,56.3,19,34,55.9,17,18,94.4,9,32,41,32,8,0,22,25,14
UTA,UTA vs. LAL,12/04/2019,L,240,96,34,83,41.0,14,31,45.2,14,19,73.7,8,32,40,20,3,3,20,24,-25
UTA,UTA @ PHI,12/02/2019,L,240,94,38,81,46.9,5,22,22.7,13,20,65.0,5,37,42,23,6,8,20,26,-9
UTA,UTA @ TOR,12/01/2019,L,240,110,38,90,42.2,13,35,37.1,21,29,72.4,15,36,51,21,5,3,18,17,-20
UTA,UTA @ MEM,11/29/2019,W,240,103,38,95,40.0,12,35,34.3,15,19,78.9,11,41,52,18,8,2,7,15,9
UTA,UTA @ IND,11/27/2019,L,240,102,36,83,43.4,10,32,31.3,20,25,80.0,10,30,40,19,7,2,16,21,-19
UTA,UTA @ MIL,11/25/2019,L,240,118,43,85,50.6,21,45,46.7,11,12,91.7,4,36,40,29,4,6,17,23,-4
UTA,UTA vs. NOP,11/23/2019,W,240,128,42,82,51.2,15,36,41.7,29,33,87.9,7,42,49,29,2,4,18,21,8
UTA,UTA vs. GSW,11/22/2019,W,240,113,43,85,50.6,14,32,43.8,13,16,81.3,8,40,48,23,4,10,21,14,4
UTA,UTA @ MIN,11/20/2019,W,240,103,35,86,40.7,14,33,42.4,19,27,70.4,13,38,51,22,7,6,11,21,8
UTA,UTA vs. MIN,11/18/2019,L,240,102,35,96,36.5,12,31,38.7,20,26,76.9,12,41,53,20,5,5,14,23,-10
UTA,UTA @ MEM,11/15/2019,L,240,106,35,87,40.2,9,34,26.5,27,32,84.4,9,36,45,17,5,6,15,16,-1
UTA,UTA vs. BKN,11/12/2019,W,240,119,43,92,46.7,6,26,23.1,27,35,77.1,11,35,46,16,7,4,11,18,5
UTA,UTA @ GSW,11/11/2019,W,240,122,40,81,49.4,16,35,45.7,26,32,81.3,5,38,43,30,3,3,12,16,14
UTA,UTA vs. MIL,11/08/2019,W,240,103,34,84,40.5,15,36,41.7,20,29,69.0,11,45,56,15,3,1,20,27,3
UTA,UTA vs. PHI,11/06/2019,W,240,106,41,89,46.1,8,22,36.4,16,24,66.7,14,36,50,21,9,4,13,21,2
UTA,UTA @ LAC,11/03/2019,L,240,94,31,78,39.7,10,31,32.3,22,31,71.0,6,31,37,16,4,6,15,30,-11
UTA,UTA @ SAC,11/01/2019,L,240,101,35,73,47.9,11,28,39.3,20,27,74.1,6,30,36,18,12,5,17,18,-1
UTA,UTA vs. LAC,10/30/2019,W,240,110,44,80,55.0,11,24,45.8,11,16,68.8,3,33,36,23,12,5,15,18,14
UTA,UTA @ PHX,10/28/2019,W,240,96,27,71,38.0,10,31,32.3,32,39,82.1,6,43,49,19,8,5,23,26,1
UTA,UTA vs. SAC,10/26/2019,W,240,113,44,78,56.4,18,37,48.6,7,12,58.3,2,41,43,28,6,1,21,22,32
UTA,UTA @ LAL,10/25/2019,L,240,86,29,70,41.4,8,25,32.0,20,21,95.2,3,37,40,19,8,2,23,25,-9
UTA,UTA vs. OKC,10/23/2019,W,240,100,40,90,44.4,6,24,25.0,14,20,70.0,11,38,49,15,4,5,11,31,5
